order_id,customer_id,product_id,order_date,quantity,total_amount,order_status
50156,2947,2132,2023-12-29,2,52.97,Shipped
50157,2320,2005,2024-04-20,3,1319.64,Shipped
50158,2334,2174,2024-01-14,2,626.42,Pending
50159,1334,2090,2024-01-06,4,1975.06,Shipped
50160,1412,2188,2023-12-15,3,,Shipped
50161,1587,2134,2024-03-19,5,200.4,Pending
50162,1357,2078,2024-05-10,5,2469.65,Pending
50163,1689,2115,2023-07-30,4,1359.02,Completed
50164,1997,2055,2023-08-27,1,75.1,Shipped
50165,1120,2042,2023-11-15,4,1555.99,Completed
50166,2056,2171,2024-01-30,1,341.1,Cancelled
50167,3016,2024,2024-05-20,3,1317.52,Cancelled
50168,3461,2017,2024-04-25,3,612.24,Shipped
50169,2564,2168,2024-04-24,5,2419.84,Pending
50170,1956,2058,2023-10-11,1,163.21,Completed
50171,1366,2088,2024-03-30,2,757.39,Completed
50172,3347,2095,2023-08-05,3,1434.55,Cancelled
50173,1007,2080,2023-07-02,5,1397.06,Pending
50174,2736,2082,2023-12-04,2,543.76,Cancelled
50175,3420,2057,2023-07-25,4,117.46,Pending
50176,2295,2038,2023-10-30,2,524.84,Pending
50177,1604,2154,2023-10-24,2,759.71,Shipped
50178,1141,2154,2023-11-11,3,790.89,Shipped
50179,1506,2071,2024-05-27,5,1260.92,Completed
50180,3028,2075,2024-05-26,4,211.74,Completed
50181,1626,2184,2023-09-16,2,715.39,Completed
50182,1734,2125,2023-12-18,3,1477.76,Shipped
50183,1653,2006,2024-03-07,4,741.08,Shipped
50184,2940,2090,2023-12-18,4,236.46,Shipped
50185,2160,2073,2024-05-22,2,716.05,Cancelled
50186,2613,2025,2023-08-07,3,1146.98,Cancelled
50187,1222,2182,2023-11-03,4,1343.8,Cancelled
50188,1564,2114,2024-05-22,4,653.05,Completed
50189,1860,2056,2023-09-09,1,197.06,Cancelled
50190,1418,2174,2023-08-15,4,1905.76,Pending
50191,1690,2015,2023-07-20,3,1463.18,Completed
50192,1215,2031,2024-02-19,3,920.58,Completed
50193,2655,2063,2023-06-18,1,139.41,Pending
50194,2240,2177,2024-04-01,2,670.16,Pending
50195,1368,2200,2024-01-24,4,622.91,Shipped
50196,2824,2095,2023-06-06,1,80.4,Completed
50197,3004,2165,2024-05-08,5,659.22,Cancelled
50198,3347,2147,2024-02-01,3,1063.56,Completed
50199,3429,2047,2023-12-14,4,1999.91,Shipped
50200,2777,2077,2024-03-19,2,,Completed
50201,3202,2048,2023-12-25,1,212.05,Cancelled
50202,3172,2126,2023-07-03,5,2113.22,Cancelled
50203,1509,2193,2023-09-15,1,110.82,Cancelled
50204,1738,2002,2024-03-11,4,1620.97,Completed
50205,1161,2033,2024-03-21,2,670.01,Completed
50206,3304,2066,2023-06-18,1,490.47,Cancelled
50207,2223,2094,2024-03-05,2,451.9,Shipped
50208,1001,2064,2023-11-01,1,474.45,Cancelled
50209,2202,2169,2024-02-29,4,365.72,Pending
50210,2282,2134,2023-11-28,5,1403.25,Completed
50211,1406,2170,2023-06-23,2,84.9,Completed
50212,2228,2056,2023-08-08,5,1436.17,Cancelled
50213,2471,2072,2023-08-05,5,1127.29,Cancelled
50214,2045,2067,2023-12-13,2,430.06,Completed
50215,2042,2174,2024-01-04,2,559.11,Completed
50216,2104,2163,2024-05-22,2,728.72,Cancelled
50217,3095,2155,2023-08-23,4,1660.98,Completed
50218,2777,2098,2023-06-14,5,712.81,Completed
50219,1511,2137,2023-07-27,5,1091.11,Completed
50220,1365,2093,2023-11-18,3,283.52,Completed
50221,2121,2003,2023-07-21,4,1961.02,Completed
50222,2551,2027,2023-08-03,2,550.15,Completed
50223,3412,2126,2023-07-19,5,953.64,Cancelled
50224,2156,2142,2023-10-17,5,360.28,Completed
50225,1700,2082,2023-12-17,2,377.91,Shipped
50226,3178,2142,2024-03-31,4,1006.04,Completed
50227,2062,2003,2024-05-17,5,1818.9,Shipped
50228,1518,2037,2023-12-11,5,1871.63,Completed
50229,2517,2182,2023-10-06,5,1118.33,Pending
50230,1750,2113,2023-11-29,4,1054.24,Completed
50231,2753,2134,2023-09-26,3,980.78,Completed
50232,2252,2105,2023-11-08,1,326.47,Completed
50233,1984,2024,2023-08-24,5,261.35,Shipped
50234,2171,2142,2024-02-08,1,482.03,Pending
50235,3084,2188,2023-08-09,4,1045.83,Shipped
50236,3181,2179,2023-08-03,4,126.41,Completed
50237,1030,2183,2024-01-04,5,1905.46,Completed
50238,3164,2176,2024-04-07,1,313.5,Completed
50239,3145,2058,2023-08-29,1,199.35,Completed
50240,3105,2091,2023-06-27,4,,Completed
50241,2529,2029,2023-11-21,2,840.14,Completed
50242,2189,2077,2024-02-03,3,452.27,Completed
50243,3330,2101,2023-09-20,3,1398.98,Shipped
50244,3112,2010,2024-01-24,5,2139.84,Completed
50245,2458,2002,2024-04-11,4,724.25,Completed
50246,1439,2002,2023-11-27,2,431.96,Completed
50247,1416,2111,2024-02-07,2,130.51,Cancelled
50248,1630,2106,2023-08-03,4,113.13,Shipped
50249,2025,2058,2024-01-27,4,811.19,Completed
50250,2755,2047,2024-03-01,3,229.89,Pending
50251,2800,2042,2023-08-11,3,1139.6,Completed
50252,2472,2182,2023-09-10,1,115.04,Completed
50253,1548,2102,2024-01-02,3,1358.92,Completed
50254,1816,2123,2024-05-06,3,244.28,Pending
50255,3254,2127,2024-05-15,2,358.64,Pending
50256,3056,2186,2023-12-17,2,154.25,Completed
50257,1087,2033,2023-08-19,3,787.5,Shipped
50258,1969,2014,2024-05-13,3,687.27,Cancelled
50259,1033,2112,2024-02-01,3,477.17,Completed
50260,2757,2064,2024-04-12,2,742.79,Completed
50261,2022,2072,2023-07-29,3,1491.82,Completed
50262,2758,2051,2024-01-29,1,358.04,Cancelled
50263,1743,2049,2024-03-29,2,267.91,Completed
50264,2644,2010,2023-10-19,2,932.64,Pending
50265,1073,2158,2023-09-11,1,435.57,Pending
50266,2669,2135,2023-11-04,2,260.69,Pending
50267,2963,2016,2024-02-17,4,1323.36,Completed
50268,1451,2069,2023-12-04,3,1418.77,Shipped
50269,2713,2064,2023-11-11,1,111.33,Completed
50270,1214,2170,2023-11-12,2,321.05,Completed
50271,3485,2026,2024-01-07,2,289.65,Pending
50272,2490,2086,2023-11-03,1,71.02,Completed
50273,3261,2198,2023-08-06,3,588.81,Completed
50274,3413,2136,2024-04-05,3,414.51,Completed
50275,1861,2150,2023-12-14,1,446.42,Completed
50276,3466,2031,2023-06-22,5,2424.78,Shipped
50277,1781,2050,2024-05-26,4,1858.45,Completed
50278,3239,2159,2023-11-23,3,1108.62,Completed
50279,3186,2185,2023-08-18,1,85.72,Pending
50280,3255,2183,2023-10-08,5,,Completed
50281,2837,2162,2023-07-31,4,228.65,Pending
50282,3146,2129,2023-06-12,2,619.2,Shipped
50283,1529,2075,2023-06-24,5,269.38,Shipped
50284,1780,2190,2023-12-21,4,1400.92,Cancelled
50285,1308,2043,2024-01-11,5,1037.36,Pending
50286,2642,2156,2023-10-18,2,224.86,Completed
50287,3343,2056,2024-03-30,1,442.6,Cancelled
50288,2866,2129,2024-05-28,5,739.73,Completed
50289,2214,2182,2023-10-16,5,407.87,Completed
50290,1187,2137,2023-09-30,3,130.7,Completed
50291,2138,2035,2023-10-17,1,330.15,Completed
50292,1861,2137,2023-07-30,1,333.11,Shipped
50293,3479,2095,2023-11-14,1,474.55,Cancelled
50294,2082,2185,2023-08-08,4,1806.84,Completed
50295,2330,2015,2024-04-16,1,416.37,Completed
50296,2146,2046,2023-10-10,1,280.26,Cancelled
50297,1436,2185,2024-05-18,4,1896.75,Completed
50298,3476,2142,2023-09-14,4,519.21,Completed
50299,1836,2149,2024-04-18,4,395.72,Completed
50300,2778,2095,2023-08-15,4,278.01,Completed
50301,2882,2048,2023-08-30,2,591.18,Shipped
50302,1739,2166,2023-10-23,1,172.33,Completed
50303,2615,2176,2024-04-07,2,115.98,Completed
50304,2747,2063,2024-01-19,4,290.44,Cancelled
50305,1563,2187,2023-06-07,5,361.86,Pending
50306,1085,2029,2023-06-07,1,87.79,Completed
50307,2097,2037,2024-04-17,5,157.06,Completed
50308,1436,2139,2023-11-21,1,121.1,Pending
50309,3306,2114,2023-08-23,3,547.75,Completed
50310,1999,2015,2024-03-05,3,969.17,Completed
50311,1087,2012,2023-07-23,5,829.75,Cancelled
50312,2702,2037,2023-06-01,2,72.8,Pending
50313,2579,2038,2023-11-28,3,396.89,Shipped
50314,2576,2176,2023-07-28,4,422.16,Completed
50315,1920,2027,2023-10-23,3,183.71,Completed
50316,1485,2093,2023-07-14,1,312.14,Completed
50317,2756,2136,2023-11-19,5,555.74,Pending
50318,1616,2171,2024-05-17,3,965.28,Completed
50319,2427,2027,2023-10-17,4,1357.29,Completed
50320,1313,2001,2023-08-16,2,,Pending
50321,2830,2185,2024-01-31,1,78.75,Pending
50322,2141,2038,2023-07-17,3,1492.55,Completed
50323,2578,2091,2023-11-11,4,905.28,Shipped
50324,2696,2155,2024-04-21,3,271.97,Shipped
50325,2008,2099,2024-01-01,5,1305.62,Cancelled
50326,3018,2137,2024-03-01,2,415.4,Cancelled
50327,2728,2135,2024-03-22,2,717.94,Completed
50328,2482,2001,2023-09-13,1,197.14,Pending
50329,1548,2029,2023-07-01,3,589.22,Completed
50330,2208,2118,2023-08-13,5,2433.07,Pending
50331,1994,2054,2023-09-23,1,379.82,Completed
50332,1587,2097,2023-06-14,4,806.2,Shipped
50333,1435,2170,2024-03-24,1,251.49,Cancelled
50334,1648,2008,2023-08-15,3,276.32,Completed
50335,1316,2004,2024-03-18,4,384.46,Completed
50336,2925,2191,2023-08-11,5,1784.09,Completed
50337,2926,2106,2023-11-20,4,1584.65,Shipped
50338,1055,2074,2023-07-27,2,107.0,Shipped
50339,1132,2155,2023-08-28,5,505.83,Pending
50340,2736,2175,2024-01-19,5,1814.59,Completed
50341,3344,2129,2023-11-04,2,452.49,Completed
50342,2114,2024,2024-02-23,4,1958.06,Completed
50343,1868,2103,2024-04-12,1,128.98,Completed
50344,3291,2155,2023-07-10,4,1007.09,Shipped
50345,2660,2098,2023-08-24,1,406.59,Shipped
50346,2738,2050,2023-10-17,1,74.59,Completed
50347,3471,2200,2023-11-19,1,138.78,Completed
50348,3219,2028,2023-07-04,2,617.26,Completed
50349,1769,2142,2023-09-12,1,139.16,Completed
50350,3336,2145,2023-06-23,5,2467.92,Pending
50351,1188,2013,2023-11-09,1,473.17,Completed
50352,2461,2193,2023-10-23,4,1050.41,Completed
50353,2601,2186,2023-11-30,2,717.52,Completed
50354,2358,2105,2024-02-13,1,263.53,Completed
50355,1098,2151,2023-12-13,4,1214.08,Completed
50356,2189,2042,2023-08-17,4,249.63,Shipped
50357,1383,2184,2023-09-27,2,817.1,Shipped
50358,1577,2197,2023-08-22,5,1351.21,Shipped
50359,3494,2167,2024-02-23,3,712.66,Completed
50360,2389,2075,2023-12-02,5,,Pending
50361,1164,2183,2024-05-15,4,554.31,Cancelled
50362,3486,2020,2023-08-18,5,1616.0,Pending
50363,1399,2004,2023-08-13,3,854.67,Completed
50364,3044,2025,2024-01-19,3,316.85,Completed
50365,1662,2018,2023-10-22,5,987.9,Completed
50366,1292,2046,2024-05-29,4,590.09,Pending
50367,2049,2196,2024-01-13,2,942.84,Cancelled
50368,3000,2011,2023-12-04,3,646.34,Cancelled
50369,1529,2113,2023-12-05,5,2131.48,Completed
50370,2531,2022,2024-05-15,4,1061.29,Completed
50371,1175,2159,2024-04-25,1,377.0,Completed
50372,3298,2003,2023-08-19,1,163.06,Completed
50373,3336,2103,2023-07-08,2,418.81,Pending
50374,1383,2090,2024-01-25,4,1320.72,Pending
50375,1447,2022,2023-09-01,1,460.79,Pending
50376,2775,2052,2023-12-23,3,166.87,Completed
50377,3476,2125,2023-09-17,4,317.22,Pending
50378,1157,2140,2023-08-19,4,376.48,Completed
50379,2312,2146,2023-06-17,5,1963.74,Completed
50380,2481,2111,2024-01-29,2,101.37,Completed
50381,2733,2070,2023-10-08,2,129.41,Completed
50382,2122,2104,2023-07-12,3,1320.13,Pending
50383,2720,2135,2023-09-18,3,337.31,Completed
50384,1379,2110,2023-11-23,3,309.46,Completed
50385,2717,2124,2024-01-30,5,1760.97,Completed
50386,2790,2091,2024-05-20,5,1049.2,Completed
50387,3298,2153,2023-09-10,1,368.29,Cancelled
50388,1593,2083,2024-05-06,3,95.22,Pending
50389,1605,2128,2023-11-10,1,401.21,Shipped
50390,2665,2068,2024-02-22,1,494.41,Completed
50391,2841,2164,2024-03-23,1,42.33,Shipped
50392,1769,2108,2024-05-22,5,1964.16,Cancelled
50393,2547,2056,2023-11-26,2,954.76,Shipped
50394,3363,2004,2023-12-07,3,98.07,Completed
50395,3057,2032,2024-05-24,4,1332.93,Pending
50396,2696,2106,2023-11-28,3,1255.16,Pending
50397,3143,2196,2023-11-19,1,465.02,Pending
50398,2755,2096,2023-08-30,5,1537.87,Cancelled
50399,2786,2098,2023-10-24,4,1304.8,Shipped
50400,1407,2023,2023-07-24,1,,Cancelled
50401,2685,2027,2024-02-10,5,2327.17,Completed
50402,2820,2129,2024-03-24,1,342.16,Pending
50403,1868,2058,2024-01-19,5,1030.06,Completed
50404,2924,2032,2023-11-27,4,884.58,Shipped
50405,2622,2002,2023-12-09,2,532.18,Completed
50406,2084,2079,2023-12-30,2,53.95,Pending
50407,1134,2004,2023-06-14,2,800.98,Cancelled
50408,3458,2082,2023-11-19,2,961.2,Pending
50409,1991,2143,2023-12-18,2,635.45,Pending
50410,1212,2148,2024-01-06,2,942.42,Pending
50411,1712,2104,2023-11-10,5,501.3,Completed
50412,1408,2182,2023-08-04,5,406.14,Cancelled
50413,2606,2196,2024-04-17,3,1268.21,Completed
50414,2321,2053,2023-07-18,1,37.18,Completed
50415,3431,2040,2023-06-15,5,1805.49,Completed
50416,3343,2098,2023-06-13,2,984.24,Shipped
50417,2467,2048,2023-10-01,2,332.08,Cancelled
50418,2005,2186,2023-12-11,3,1014.44,Completed
50419,1340,2037,2024-04-17,1,328.23,Cancelled
50420,1424,2029,2024-01-22,5,416.38,Completed
50421,2157,2068,2023-09-01,1,61.76,Completed
50422,1852,2101,2023-07-22,4,1611.34,Pending
50423,1302,2125,2024-04-16,1,124.89,Pending
50424,2538,2081,2024-04-20,4,1636.24,Completed
50425,2224,2003,2023-08-31,5,1624.13,Completed
50426,1481,2088,2023-11-25,4,1990.34,Cancelled
50427,3239,2002,2023-08-21,5,1886.53,Completed
50428,1790,2156,2023-06-16,5,179.72,Cancelled
50429,1625,2056,2023-12-04,1,451.82,Completed
50430,2342,2036,2023-09-21,1,370.68,Completed
50431,2097,2071,2024-02-02,2,955.57,Completed
50432,3259,2167,2023-10-29,4,1515.87,Pending
50433,2787,2132,2023-12-22,2,287.59,Completed
50434,2152,2101,2023-07-23,5,2008.74,Cancelled
50435,2277,2043,2023-09-14,4,923.6,Pending
50436,2736,2153,2023-10-18,3,962.65,Cancelled
50437,2569,2110,2023-09-11,5,963.17,Shipped
50438,1264,2116,2023-08-25,1,480.1,Completed
50439,3404,2105,2023-10-29,5,2088.38,Shipped
50440,3173,2091,2023-12-21,1,,Completed
50441,2759,2048,2023-12-01,2,119.01,Shipped
50442,2523,2096,2023-08-14,3,249.28,Completed
50443,1045,2184,2023-11-16,2,492.11,Completed
50444,1953,2144,2023-07-04,4,638.87,Completed
50445,3160,2056,2023-07-23,5,785.37,Cancelled
50446,1307,2147,2024-04-26,4,1396.05,Pending
50447,2302,2082,2023-09-10,2,97.18,Pending
50448,3043,2012,2023-10-19,4,326.59,Pending
50449,1701,2154,2023-11-15,5,1034.29,Cancelled
50450,1088,2073,2023-06-10,5,2471.39,Pending
50451,2165,2034,2023-12-24,1,450.52,Cancelled
50452,1161,2087,2024-04-26,1,57.99,Completed
50453,2701,2186,2023-11-02,3,527.0,Completed
50454,2640,2021,2024-03-11,3,778.69,Completed
50455,2612,2077,2024-05-22,4,1037.34,Shipped
50456,1498,2096,2024-04-12,1,38.91,Completed
50457,1043,2036,2023-07-24,3,1302.48,Shipped
50458,2785,2058,2023-08-27,1,115.8,Completed
50459,3202,2002,2024-05-18,1,148.35,Completed
50460,1454,2013,2023-11-03,1,150.27,Shipped
50461,2555,2070,2024-05-23,2,928.62,Cancelled
50462,2888,2031,2023-08-04,3,1303.2,Cancelled
50463,2693,2164,2024-01-15,1,272.84,Completed
50464,3368,2123,2024-05-04,4,1955.06,Completed
50465,2978,2058,2023-07-18,3,1166.84,Shipped
50466,1340,2091,2024-03-12,2,676.51,Shipped
50467,1844,2178,2023-07-10,1,486.59,Completed
50468,1871,2004,2024-05-09,2,494.74,Pending
50469,1770,2125,2023-07-24,3,372.34,Cancelled
50470,3162,2132,2023-11-08,3,1084.63,Shipped
50471,1631,2130,2023-07-25,2,257.85,Completed
50472,2580,2116,2024-04-13,5,607.17,Pending
50473,1770,2018,2023-10-21,4,411.97,Completed
50474,3365,2166,2023-07-23,2,487.91,Completed
50475,1452,2062,2023-06-09,4,455.36,Completed
50476,2951,2170,2024-02-27,4,768.72,Completed
50477,3255,2022,2023-11-29,4,502.93,Pending
50478,3057,2111,2024-02-16,3,150.75,Completed
50479,2515,2026,2023-06-26,4,1490.8,Pending
50480,1795,2076,2023-09-05,4,,Completed
50481,3170,2156,2024-02-08,5,1154.72,Shipped
50482,1205,2166,2023-10-06,1,129.3,Completed
50483,1147,2148,2023-10-15,2,112.56,Completed
50484,2129,2058,2024-04-13,4,844.63,Completed
50485,1901,2188,2024-05-20,3,780.62,Completed
50486,1834,2089,2024-04-22,3,1080.84,Completed
50487,1013,2025,2023-09-03,5,2280.98,Cancelled
50488,2953,2190,2023-11-04,2,211.72,Shipped
50489,1285,2043,2023-09-04,3,1357.31,Completed
50490,1053,2171,2024-01-29,4,734.7,Completed
50491,2081,2020,2023-08-27,1,307.15,Pending
50492,3389,2001,2024-02-06,2,498.94,Completed
50493,1072,2146,2024-05-14,3,1265.39,Cancelled
50494,3061,2043,2023-08-15,1,72.5,Shipped
50495,2375,2116,2024-02-07,3,1485.46,Completed
50496,2993,2065,2023-12-04,4,125.77,Completed
50497,2234,2182,2023-11-18,5,1964.5,Cancelled
50498,2984,2029,2023-10-17,5,1854.51,Completed
50499,1606,2106,2023-09-21,2,389.33,Completed
50500,2001,2148,2024-05-22,4,782.9,Shipped
50501,1366,2050,2023-12-11,1,483.59,Shipped
50502,3232,2116,2024-02-25,2,302.04,Shipped
50503,2429,2085,2023-12-18,5,1116.07,Completed
50504,2267,2049,2023-06-22,5,1360.18,Completed
50505,1504,2111,2024-01-19,5,2424.36,Completed
50506,2182,2029,2023-06-05,4,1861.74,Completed
50507,2911,2175,2023-08-16,5,2420.84,Cancelled
50508,3287,2171,2023-08-23,3,768.73,Completed
50509,2208,2004,2024-01-19,1,128.23,Cancelled
50510,1506,2014,2024-02-06,3,82.25,Completed
50511,1003,2013,2023-10-07,2,382.71,Completed
50512,3057,2171,2024-03-14,2,956.0,Shipped
50513,2109,2037,2023-09-09,4,1211.93,Completed
50514,2192,2057,2023-06-17,4,1872.58,Completed
50515,2583,2109,2023-12-22,1,449.19,Completed
50516,3446,2080,2023-08-28,5,1160.06,Completed
50517,3369,2036,2024-05-15,2,287.52,Pending
50518,3271,2052,2023-11-02,3,196.98,Cancelled
50519,2889,2140,2023-09-02,4,1586.57,Pending
50520,1394,2036,2024-02-25,4,,Cancelled
50521,2465,2120,2023-11-29,4,986.45,Pending
